,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
2763,French,Tailpiece (page 82) from POÈMES,Maurice Denis,1870.0,1943.0,Male,1939,Prints & Illustrated Books
2764,American,Alone,Max Weber,1881.0,1961.0,Male,1928,Prints & Illustrated Books
2765,American,Training for War,William H. Johnson,1901.0,1970.0,Male,1941,Prints & Illustrated Books
2766,Venezuelan,Untitled,Claudio Perna,1938.0,1997.0,Male,1988,Photography
2767,French,Bois de Boulogne,Eugène Atget,1857.0,1927.0,Male,1923,Photography
2768,French,Porte de Montreuil,Eugène Atget,1857.0,1927.0,Male,1912,Photography
2769,American,"Ruth, Easton, Pennsylvania",Judith Joy Ross,1946.0,,Female,1992,Photography
2770,American,Close,Roe Ethridge,1969.0,,Male,2011,Photography
2771,German,Ravensbrücke IX,Berndt Kerkin,1951.0,,Male,1987,Prints & Illustrated Books
2772,French,"THE FOX AND THE STORK (plate 9, 1st supplementary suite) from FABLES",Marc Chagall,1887.0,1985.0,Male,1940,Prints & Illustrated Books
2773,American,"The Apartment House, New York",Paul Strand,1890.0,1976.0,Male,1920,Photography
2774,American,The Jerusalem Plant #1 from Jerusalem Plant,Jim Dine,1935.0,,Male,1982,Prints & Illustrated Books
2775,American,"Two Boys Smoking in Central Park, New York City",Diane Arbus,1923.0,1971.0,Female,1963,Photography
2776,American,"Nakoma Sculpture Basin Project, Madison, Wisconsin",Frank Lloyd Wright,1867.0,1959.0,Male,1924,Architecture & Design
2777,American,Ed Henderson Suggests Sound Tracks for Photographs,John Baldessari,1931.0,,Male,1974,Media and Performance Art
2778,American,"Untitled from Folder, Vol. I, No. I",Grace Hartigan,1922.0,2008.0,Female,1953,Prints & Illustrated Books
2779,French,Un Cyclope,Jean-Luc Verna,1966.0,,Male,2003,Drawings
2780,French,"Verrières, coin pittoresque",Eugène Atget,1857.0,1927.0,Male,1922,Photography
2781,American,Train,Yasuo Kuniyoshi,1889.0,1953.0,Male,1930,Prints & Illustrated Books
2782,British,Untitled,Richard Deacon,1949.0,,Male,1990,Drawings
2783,French,Temple of Maharakka,Maxime Du Camp,1822.0,1894.0,Male,1850,Photography
2784,German,"Deer (Rehzwillinge) (tailpiece, page 2) from the periodical Münchner Blätter für Dichtung und Graphik, vol. 1, no. 1 (January 1919)",Richard Seewald,1889.0,1976.0,Male,1919,Prints & Illustrated Books
2785,American,Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1886.0,1969.0,Male,1932,Architecture & Design
2786,French,In-text plate (page 267) from DAPHNIS ET CHLOÉ,Pierre Bonnard,1867.0,1947.0,Male,1902,Prints & Illustrated Books
2787,American,"Fireman's Memorial. Spring Valley, New York",Lee Friedlander,1934.0,,Male,1974,Photography
2788,Cameroonian,February (février) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,1967.0,,Male,2009,Prints & Illustrated Books
2789,American,Yellow Circle,László Moholy-Nagy,1895.0,1946.0,Male,1921,Painting & Sculpture
2790,American,Picasso from Homage to Picasso (Hommage à Picasso),Ernest  Trova,1927.0,2009.0,Male,1975,Prints & Illustrated Books
2791,Italian,Surface with Vibrating Texture,Getulio Alviani,1939.0,,Male,1964,Painting & Sculpture
2792,British,Untitled,Patrick Caulfield,1936.0,2005.0,Male,1973,Prints & Illustrated Books
2793,French,Female Saint and Thistle (La Sainte et chardon),Odilon Redon,1840.0,1916.0,Male,1891,Prints & Illustrated Books
2794,British,14th Street Series Number 9,Mark Lancaster,1938.0,,Male,1972,Painting & Sculpture
2795,German,Cover from Der Kopf (The Head),Ernst Barlach,1870.0,1938.0,Male,1919,Prints & Illustrated Books
2796,American,Plate VI (folio 9) from FROM JEWISH POEMS,Maurice Grosman,1900.0,1976.0,Male,1962,Prints & Illustrated Books
2797,French,Untitled from Favorite Objects,Christian Boltanski,1944.0,,Male,1998,Prints & Illustrated Books
2798,French,Russian Dolls (Les poupées russes),Cédric Klapisch,1961.0,,Male,2005,Film
2799,French,HÉROÏDES,André Derain,1880.0,1954.0,Male,1938,Prints & Illustrated Books
2800,French,Nymphéa,Eugène Atget,1857.0,1927.0,Male,1922,Photography
2801,American,PARK WITH FIGURES,Harold Altman,1924.0,2003.0,Male,1960,Prints & Illustrated Books
2802,French,Headpiece (page 81) from L'APPEL DU CLOWN,André Dunoyer de Segonzac,1884.0,1974.0,Male,1930,Prints & Illustrated Books
2803,German,Nochmal Petra from Courage to Print (Mut zum Druck),Martin Kippenberger,1953.0,1997.0,Male,1990,Prints & Illustrated Books
2804,American,Torso,Bernard Reder,1897.0,1963.0,Male,1938,Painting & Sculpture
2805,Colombian,Untitled #36,José Antonio Suárez Londoño,1955.0,,Male,1988,Prints & Illustrated Books
2806,American,"Postcards for Paperweights, Postcards, Pictures, Cannibalism, Centre d'Art Contemporain, Geneva, January 20–February 27, 1994",Louise Lawler,1947.0,,Female,1994,Prints & Illustrated Books
2807,American,Untitled,Louise Bourgeois,1911.0,2010.0,Female,2002,Prints & Illustrated Books
2808,French,Rythmes-Couleurs,Sonia Delaunay-Terk,1885.0,1979.0,Female,1966,Prints & Illustrated Books
2809,American,Tails,Sebastian Black,1985.0,,Male,2016,Prints & Illustrated Books
